region,year,units,value,scenario
ARG,2005,ug/m3,3.72575332,SSP1
AUS,2005,ug/m3,4.373390369,SSP1
AUT,2005,ug/m3,6.816238697,SSP1
BGR,2005,ug/m3,9.71860295,SSP1
BLX,2005,ug/m3,8.311890672,SSP1
BRA,2005,ug/m3,3.752108013,SSP1
CAN,2005,ug/m3,5.152296543,SSP1
CHE,2005,ug/m3,8.412415957,SSP1
CHL,2005,ug/m3,26.34631891,SSP1
CHN,2005,ug/m3,32.53586864,SSP1
COR,2005,ug/m3,16.44521771,SSP1
EAF,2005,ug/m3,10.72113121,SSP1
EGY,2005,ug/m3,30.35962618,SSP1
ESP,2005,ug/m3,8.646619902,SSP1
FIN,2005,ug/m3,3.076210099,SSP1
FRA,2005,ug/m3,8.853841334,SSP1
GBR,2005,ug/m3,5.116905218,SSP1
GOLF,2005,ug/m3,37.17801902,SSP1
GRC,2005,ug/m3,12.4900343,SSP1
HUN,2005,ug/m3,7.058134698,SSP1
IDN,2005,ug/m3,8.689928416,SSP1
ITA,2005,ug/m3,13.31990672,SSP1
JPN,2005,ug/m3,12.26889558,SSP1
KAZ,2005,ug/m3,11.35468846,SSP1
MEME,2005,ug/m3,18.12053821,SSP1
MEX,2005,ug/m3,8.802351719,SSP1
MON,2005,ug/m3,16.56189797,SSP1
MYS,2005,ug/m3,5.961979498,SSP1
NDE,2005,ug/m3,24.28681162,SSP1
NOA,2005,ug/m3,16.72890505,SSP1
NOR,2005,ug/m3,2.620537167,SSP1
NZL,2005,ug/m3,9.84294303,SSP1
PAC,2005,ug/m3,4.809684968,SSP1
PHL,2005,ug/m3,5.188781555,SSP1
POL,2005,ug/m3,5.239892311,SSP1
RCAM,2005,ug/m3,8.217877623,SSP1
RCEU,2005,ug/m3,9.073035673,SSP1
RCZ,2005,ug/m3,7.14823381,SSP1
RFA,2005,ug/m3,8.573543198,SSP1
RIS,2005,ug/m3,27.72595825,SSP1
ROM,2005,ug/m3,7.449256508,SSP1
RSA,2005,ug/m3,10.07449539,SSP1
RSAM,2005,ug/m3,6.282816648,SSP1
RSAS,2005,ug/m3,26.96825499,SSP1
RSEA,2005,ug/m3,12.15069958,SSP1
RUE,2005,ug/m3,4.94643913,SSP1
RUS,2005,ug/m3,5.980389434,SSP1
SAF,2005,ug/m3,4.87877176,SSP1
SWE,2005,ug/m3,3.959831947,SSP1
THA,2005,ug/m3,13.84223831,SSP1
TUR,2005,ug/m3,9.64131204,SSP1
TWN,2005,ug/m3,11.45792881,SSP1
UKR,2005,ug/m3,3.833128694,SSP1
USA,2005,ug/m3,7.133723006,SSP1
VNM,2005,ug/m3,23.18567955,SSP1
WAF,2005,ug/m3,26.60078054,SSP1
ARG,2010,ug/m3,4.523360919,SSP1
AUS,2010,ug/m3,4.300685383,SSP1
AUT,2010,ug/m3,6.681569285,SSP1
BGR,2010,ug/m3,8.556562737,SSP1
BLX,2010,ug/m3,6.823383202,SSP1
BRA,2010,ug/m3,4.31813275,SSP1
CAN,2010,ug/m3,4.420989928,SSP1
CHE,2010,ug/m3,7.6112848,SSP1
CHL,2010,ug/m3,27.43875743,SSP1
CHN,2010,ug/m3,32.25536628,SSP1
COR,2010,ug/m3,14.70155816,SSP1
EAF,2010,ug/m3,10.98114294,SSP1
EGY,2010,ug/m3,31.78274909,SSP1
ESP,2010,ug/m3,5.45973179,SSP1
FIN,2010,ug/m3,3.134828632,SSP1
FRA,2010,ug/m3,6.97538081,SSP1
GBR,2010,ug/m3,4.006075027,SSP1
GOLF,2010,ug/m3,38.69673535,SSP1
GRC,2010,ug/m3,10.59258108,SSP1
HUN,2010,ug/m3,7.916795937,SSP1
IDN,2010,ug/m3,9.51352259,SSP1
ITA,2010,ug/m3,11.53296071,SSP1
JPN,2010,ug/m3,11.25731421,SSP1
KAZ,2010,ug/m3,11.33179487,SSP1
MEME,2010,ug/m3,18.46229729,SSP1
MEX,2010,ug/m3,6.360278156,SSP1
MON,2010,ug/m3,15.14679381,SSP1
MYS,2010,ug/m3,6.867839844,SSP1
NDE,2010,ug/m3,31.44064309,SSP1
NOA,2010,ug/m3,15.78168408,SSP1
NOR,2010,ug/m3,2.599138615,SSP1
NZL,2010,ug/m3,9.79220811,SSP1
PAC,2010,ug/m3,4.8171794,SSP1
PHL,2010,ug/m3,4.975029301,SSP1
POL,2010,ug/m3,5.245723779,SSP1
RCAM,2010,ug/m3,8.100301951,SSP1
RCEU,2010,ug/m3,9.70719145,SSP1
RCZ,2010,ug/m3,6.984134402,SSP1
RFA,2010,ug/m3,7.531602559,SSP1
RIS,2010,ug/m3,29.67475392,SSP1
ROM,2010,ug/m3,7.45865424,SSP1
RSA,2010,ug/m3,10.04557964,SSP1
RSAM,2010,ug/m3,6.223684339,SSP1
RSAS,2010,ug/m3,31.97337535,SSP1
RSEA,2010,ug/m3,12.69828972,SSP1
RUE,2010,ug/m3,4.679974851,SSP1
RUS,2010,ug/m3,5.904908141,SSP1
SAF,2010,ug/m3,5.171641502,SSP1
SWE,2010,ug/m3,3.521920691,SSP1
THA,2010,ug/m3,13.74360978,SSP1
TUR,2010,ug/m3,10.39245863,SSP1
TWN,2010,ug/m3,10.75459843,SSP1
UKR,2010,ug/m3,4.597135619,SSP1
USA,2010,ug/m3,5.848949873,SSP1
VNM,2010,ug/m3,22.61036684,SSP1
